Date,Category,Sub-Category,Amount_DR,Amount_CR,Entity,Notes,Payment_Mode,Cycle_ID
2025-09-01,Share Investment,Equity,20,0,INDMoney,INDMoney,UPI,Sep-2025
2025-09-04,Personal Spending,Misc,2,0,G-Play,G-Play,UPI,Sep-2025
2025-09-04,Personal Spending,Misc,0,2,G-Play,G-Play,UPI,Sep-2025
2025-09-18,Personal Spending,Transport,15,0,Metro,Metro,UPI,Sep-2025
2025-09-25,Family Support,P2P Inflow,0,1000,Dad,From Dad,UPI,Sep-2025
2025-10-07,Personal Spending,P2P Outflow,200,0,Swea,To Swea,UPI,Oct-2025
2025-10-10,Personal Spending,P2P Outflow,200,0,Jegan,To Jegan,UPI,Oct-2025
2025-10-13,Personal Spending,Transport,20,0,Metro,To Teynampet - Metro,UPI,Oct-2025
2025-10-13,Personal Spending,Transport,17,0,MTC Bus,To Little mount - Bus,Cash,Oct-2025
2025-10-13,Personal Spending,Misc,20,0,SLM EFO,SLM EFO,UPI,Oct-2025
2025-10-13,Family Support,P2P Inflow,0,200,Jegan,From Jegan,Cash,Oct-2025
2025-10-14,Personal Spending,Transport,20,0,Metro,To Teynampet - Metro,Cash,Oct-2025
2025-10-14,Personal Spending,Transport,5,0,MTC Bus,To Saidapet - Bus,Cash,Oct-2025
2025-10-14,Personal Spending,Transport,21,0,MTC Bus,To Guindy - Bus,Cash,Oct-2025
2025-10-14,Household Spending,Food & Dining,15,0,Local Shop,Snacks,Cash,Oct-2025
2025-10-15,Personal Spending,Transport,20,0,Metro,To Teynampet - Metro,Cash,Oct-2025
2025-10-15,Personal Spending,Transport,8,0,MTC Bus,To Saidapet - Bus,Cash,Oct-2025
2025-10-16,Personal Spending,Transport,27,0,MTC Bus,To Teynampet - Bus,Cash,Oct-2025
2025-10-17,Family Support,P2P Inflow,0,500,Dad,Valar via Dad,UPI,Oct-2025
2025-10-21,Personal Spending,Transport,20,0,Auto,To velachery - Auto,Cash,Oct-2025
2025-10-21,Personal Spending,Transport,10,0,Metro,To Teynampet - Metro,Cash,Oct-2025
2025-10-21,Personal Spending,Transport,20,0,Metro,To Teynampet - Metro,Cash,Oct-2025
2025-10-21,Personal Spending,Transport,50,0,Metro,To Teynampet - Metro,Cash,Oct-2025
2025-10-22,Personal Spending,Transport,40,0,Metro,To Teynampet - Metro,Cash,Oct-2025
2025-10-23,Personal Spending,Transport,40,0,Metro,To Teynampet - Metro,UPI,Oct-2025
2025-10-24,Personal Spending,Transport,40,0,Metro,To Teynampet - Metro,UPI,Oct-2025
2025-10-26,Household Spending,Utilities,30,0,Local Shop,Watercan,Cash,Oct-2025
2025-10-26,Household Spending,Groceries,90,0,Local Shop,Tea Thul,Cash,Oct-2025
2025-10-26,Household Spending,Misc,10,0,Lux Shop,Lux shop,Cash,Oct-2025
2025-10-26,Household Spending,Groceries,22,0,Local Shop,For Milk Pack,Cash,Oct-2025
2025-10-26,Family Support,P2P Inflow,0,50,Jegan,From Jegan,Cash,Oct-2025
